"WT_DW_1"	"WT_DW_2"	"WT_DW_3"	"WT_JA__10"	"WT_JA__11"	"WT_JA_4_28"	"WT_DW_41"	"WT_JA_41"	"myb47_95DW6_21"	"myb47_95JA6_31"	"myb47_95JA7_32"	"myb47_95JA9_24"	"myb47_95_DW5_27"	"myb47_95_DW__7"	"myb47_95DW_41"	"myb47_95JA_41"	"mycTKO_DW_4"	"mycTKO_DW_5"	"mycTKO_DW_6_20"	"mycTKO_DW_41"	"mycTKO_JA_13"	"mycTKO_JA_14"	"mycTKO_JA_15"	"mycTKO_JA_41"
"AT1G01010"	243.799	343.437	370	238.077	215.791	104.186	110.337	192.995	166.323	210.247	170.368	121.02	145.859	203.666	141.085	248	277.534	227.577	198.123	124.977	174.056	189.05	167	115
"AT1G01020"	282.747	212.433	218	252.225	270.877	359.196	255.301	205	245.841	213.85	274.066	194.394	240.512	201.925	273.317	276.023	255	343.595	225.789	274.395	334.393	256.575	185.018	312.83
"AT1G01030"	48.02	85	57.005	72.013	64	20	30.773	72	41.044	61.962	101.509	87	101.084	31	27	62.261	45	29.015	29	29	39	40	22	21
"AT1G01040"	1257.598	2026.754	1642.893	964.799	884.174	837.738	1377.091	1413.726	1407.547	861.67	808.103	939.439	1033.423	1266.981	1223.536	1286.578	1647.267	1213.655	1142.044	1667.577	998.323	1094.407	878.08	889.049
"AT1G01050"	1963.016	2155.832	1957.113	1245.366	1370.975	949.705	2150.13	1310.592	1423.497	1693.481	1651.793	1162.272	1559.324	1877.121	2418.617	1115.503	2186.503	1963.199	2010.114	2359.378	1490.337	1484.653	1018.956	1243.016
"AT1G01060"	3272.147	3805.358	3472.545	1876.597	2096.502	1194.703	3523.246	2241.8	2237.069	1553.358	2238.192	1676.641	2144.201	2620.058	4943.304	2671.433	3512.558	3536.799	2335.877	4084.643	1931.363	1629.035	1160.446	2502.731
"AT1G01070"	196.033	207.006	191.002	167.736	202.257	142.044	27.036	209.657	62.003	269.534	139.873	152.967	183.913	96.002	39	225.482	52.005	47	108.004	30	73.018	38	43	29
"AT1G01080"	1196.894	1338.489	1177.334	966.485	996.188	636.307	1550.925	693.647	1118.281	992.917	950.133	705.223	888.276	1393.898	1540.329	538.12	1761.169	1492.138	1317.508	1801.778	1460.972	1474.338	993.525	1134.448
"AT1G01090"	3155.222	4019.267	3733.106	2487.744	2519.99	2385.178	3167.966	2327.144	3413.858	2836.129	2702.06	2276.51	2542.609	3277.662	3330.014	2626.658	4684.656	3773.998	3208.141	3532.357	4188.456	4278.194	3408.093	3665.528
"AT1G01100"	2287.555	2888.916	2834.281	2081.659	2149.895	8955.436	2059.574	1570.083	2818.096	2233.142	1959.093	1262.036	1630.514	2808.248	2333.137	1697.566	4374.543	3154.652	2290.598	2554.746	3423.337	3903.037	3093.961	2735.051
